Audio File	Translation
dede_0.mp3	San Francisco, es war noch nie leicht, ein rationales Gespräch über den Wert von Gold zu führen.
dede_1.mp3	In letzter Zeit allerdings ist dies schwieriger, denn je ist doch der Goldpreis im letzten Jahrzehnt um über 300 Prozent angestiegen.
dede_2.mp3	erst letzten dezember verfaßten meine kollegen martin feldstein und nuriel rubini kommentare in denen sie mutig die vorherrschende optimistische marktstimmung hinterfragten und sehr überlegt auf die risiken des goldes hinwiesen
dede_3.mp3	Und es kam, wie es kommen musste.
dede_4.mp3	Seit der Veröffentlichung ihrer Artikel ist der Goldpreis noch weiter gestiegen.
dede_5.mp3	Jüngst erreichte er sogar einen Rekordhoch von 1300 Dollar.
dede_6.mp3	Im letzten Dezember argumentierten die Goldbooks, dass der Preis zweifellos in Richtung 2000 Dollar gehen würde.
dede_7.mp3	Beflügelt aufgrund des anhaltenden Aufwärtstrends, meint man nun mancherorts, dass Gold sogar noch höher steigen könnte.
dede_8.mp3	ein erfolgreicher goldinvestor erklärte mir vor kurzem daß die aktienkurse über ein jahrzehnt dahin gedimpelt waren bevor der dow jones index in den frühen neunzehnhundertachtziger jahren die marke von eintausend punkten überschritt
dede_9.mp3	Seitdem ist er auf über 10.000 Punkte gestiegen.
dede_10.mp3	Nun hat Gold die magische Grenze von 1000 Dollar überschritten. Warum sollte sich sein Wert daher nicht auch verzehnfachen?
dede_11.mp3	Zugegeben, es bedarf keiner großen Fantasie, um sich einen noch höheren Goldpreis vorzustellen.
dede_12.mp3	Denn inflationsbereinigt erreicht der Goldpreis von heute nicht annähernd das Allzeithoch von Januar 1980.
dede_13.mp3	Damals lag Gold bei 850 Dollar, also in heutigen Geldwert um einiges über 2000 Dollar.
dede_14.mp3	Allerdings gab es im Januar 1980 offensichtlich einen Freak Peak in einer Zeit erhöhter geopolitischer Instabilität.
dede_15.mp3	Bei einem Wert von 1300 Dollar ist der heutige Preis wohl doppelt so hoch wie die sehr langfristigen, inflationsbereinigten Durchschnittsgoldpreise.
dede_16.mp3	Was also könnte einen weiteren kolossalen Anstieg des Goldpreises von diesem Wert aus begründen?
dede_17.mp3	Eine Möglichkeit wäre natürlich der totale Zusammenbruch des US-Dollars.
dede_18.mp3	Angesichts aufernder Defizite und einer richtungslosen Fiskalpolitik fragt man sich, ob eine populistische Administration nicht doch leichtsinnigerweise die Gelddruckmaschine anwerfen würde.
dede_19.mp3	Und wer sich in dieser Hinsicht wirklich Sorgen macht, könnte in Gold tatsächlich die verlässlichste Absicherung finden.
dede_20.mp3	Natürlich kann man einwenden, dass inflationsindexierte Anleihen eine bessere und direktere Absicherung sein als Gold.
dede_21.mp3	Aber die Goldbucks machen sich zu Recht Sorgen, ob die Regierung ein derartiges Engagement unter extremeren Umständen würdigte.
dede_22.mp3	wie kamen reinhardt und ich in unserem jüngsten buch über die geschichte von finanzkrisen dieses mal ist alles anders zeigen konvertieren pleite regierungen diese indexierten anleihen oftmals zwangsweise in nichtindexierte auf daß sich ihr wert weginflationiere
dede_23.mp3	Sogar in den Vereinigten Staaten wurden während der Großen Depression der neunzehnhundertdreißiger Jahre die Index-Klauseln aus Anleihverträgen gestrichen. Das kann also überall passieren.
dede_24.mp3	aber selbst wenn eine sehr hohe inflation möglich ist heißt das noch lange nicht daß sie auch wahrscheinlich ist man sollte daher mit der argumentation vorsichtig sein wonach höhere goldpreise von inflationserwartungen angetrieben sein
dede_25.mp3	mancherorts heißt es auch der lange aufwärtstrend des goldes wäre teilweise durch die entwicklung neuer finanzinstrumente bedingt die den handel und die spekulation mit gold erleichterten
dede_26.mp3	Darin liegt möglicherweise ein Körnchen Wahrheit und ein gewisses Maß an Ironie.
dede_27.mp3	denn schon die mittelalterlichen Alchemisten beschäftigten sich mit der aus heutiger Sicht absurden Suche nach einer Möglichkeit, aus unedeln Metallen Gold zu machen.
dede_28.mp3	Wäre es nicht Paradoxon, wenn es der Finanzalchemie gelänge, den Wert eines Goldbarens dramatisch steigen zu lassen?
dede_29.mp3	Meiner Ansicht nach ist der stärkste Grund für den heutigen hohen Goldpreis der dramatische Aufstieg Asiens, Lateinamerikas und des Mittleren Ostens in die Weltwirtschaft.
dede_30.mp3	Legionen neuer Verbraucher gewinnen an Kaufkraft und damit steigt zwansläufig die Nachfrage, wodurch der Preis für knappe Güter steigt.
dede_31.mp3	zugleich müssen die zentralbanken der schwellenmärkte goldreserven anlegen die sie allerdings noch immer in viel geringerem ausmaß halten als die zentralbanken reicher länder nachdem der euro als möglichkeit der diversifizierung des dollarportefeuilles wenig einladend wirkt steigt natürlich der reiz des goldes
dede_32.mp3	also ja manche fundamentaldaten untermauern durchaus die heutigen goldpreise obwohl es fraglich ist ob und in welchem ausmaß sie höhere preise auch in zukunft untermauern werden
dede_33.mp3	Ein weiterer entscheidender und grundlegender Faktor, der zu hohen Goldpreisen beitrug, könnte sich als weit kurzlebiger erweisen als die Globalisierung.
dede_34.mp3	Der Goldpreis ist extrem empfindlich hinsichtlich globaler Veränderungen des Zinssatzes.
dede_35.mp3	Schließlich bringt Gold keine Zinsen und die Lagerung kostet sogar etwas.
dede_36.mp3	Angesichts der in vielen Ländern teilweise auf einem Rekordtief befindlichen Zinsen ist es relativ billig, mit Gold zu spekulieren, anstatt in Anleihen zu investieren.
dede_37.mp3	Wenn aber die realen Zinssätze signifikant ansteigen, wie dies eines Tages durchaus möglich ist, könnte der Goldkurs abstürzen.
dede_38.mp3	Aus den meisten ökonomischen Forschungsergebnissen geht hervor, dass eine kurz- bis mittelfristige Prognose des Goldpreises sehr schwierig ist, wobei sich die Chancen auf Gewinn und Verlust ungefähr ausgleichen.
dede_39.mp3	Daher ist es gefährlich, aus kurzfristigen Trends Prognosen abzuleiten.
dede_40.mp3	Ja, mit Gold ist es prima gelaufen, aber bis vor ein paar Jahren war es auch mit weltweiten Immobilienpreisen so.
dede_41.mp3	Wenn Sie ein vermögender Investor, ein Staatsfonds oder eine Zentralbank sind, ist es unbedingt sinnvoll, einen bescheidenen Teil Ihres Portfolios zur Absicherung gegen extreme Ereignisse in Gold zu halten.
dede_42.mp3	Aber trotz seiner erhöhten Attraktivität im Gefolge einer außergewöhnlichen Preissteigerung bleibt Gold für die meisten von uns eine sehr riskante Sache.
dede_43.mp3	Natürlich haben derartige Überlegungen möglicherweise wenig Einfluss auf die Goldpreise.
dede_44.mp3	Was für die Alchemisten von damals galt, trifft auch heute noch zu: Gold und Vernunft sind oft schwer unter einen Hut zu bringen.
dede_45.mp3	Ist der Irak das nächste Afghanistan?
dede_46.mp3	Zu Beginn des Irak-Kriegs unter US-Führung bildeten sich zwei konkurrierende Vorhersagen über sein Ergebnis.
dede_47.mp3	die erste behauptete der sturz des sadam husein-regimes dürfte im irak eine era der demokratie einleiten die als modell und katalyzer für die demokratische umgestaltung der region dienen würde
dede_48.mp3	von den kritikern als neue domino theorie verspottet stellte diese ansicht die intervention in den irak als etwas ähnliches wie die rolle dar die amerika nach dem zweiten weltkrieg in japan eingenommen hat
dede_49.mp3	Gegen den Optimismus dieses Japan-Szenarios behaupteten die Pessimisten, dass ein Somalia-Szenario wahrscheinlicher wäre.
dede_50.mp3	sie stützten ihre behauptung auf die stammes konfessions und multiethnische natur des irak die ohne diktatur vermutlich im irak den zusammenbruch in einen mißlungenen staat mit wucherndem kriegsherrenunwesen ethnische und religiöse feiden und unterschlupf für terroristische organisationen auslösen würde
dede_51.mp3	Doch ist jetzt die Hauptfrage, ob der Irak irgendwo zwischen diesen beiden Szenarien entlang triften wird, um zunehmend Afghanistan ähnlicher zu werden.
dede_52.mp3	Dieses afghanische Szenario beinhaltet einen schwachen Staat mit nomineller Macht über tatsächlich autonome Stammestümer, die von starken Männern als ihren Repräsentanten in der Staatsregierung geführt werden.
dede_53.mp3	so schlecht es klingen mag doch scheint diese perspektive ein realistischer kompromiss zwischen der vermutlich utopischen vision einer blühenden vereinigten demokratie und der jämmerlichkeit eines mißlungenen staates zu sein
dede_54.mp3	viele handlungen und richtlinien der provisorischen koalitionsbehörde cpa als auch entscheidungen der regierung bush auf höherer ebene scheinen auf eine resignierende hinnahme hinzudeuten und darauf daß die frühere hoffnung der irak würde eine demokratie westlichen stils annehmen verloren gegangen ist
dede_55.mp3	Tatsächlich sind solche Hoffnungen verloren gegangen.
dede_56.mp3	iraks politische kultur und diejenige des größten teils des nahen ostens verträgt sich nicht mit den grundbestandteilen einer demokratie in einem wiedererkennbaren westlichen stil die vorstellungen von individuellen rechten und individueller verantwortlichkeit fehlen der begriff eines patriarchalischen staates ist tief verwurzelt und die individuelle kulturelle identität ist selten der nationalen gemeinschaft verpflichtet
dede_57.mp3	Andererseits prägen viele Trugschlüsse die Analysen, welche die traditionelle Natur der irakischen Gesellschaft für die Behinderung einer liberalen Demokratie halten.
dede_58.mp3	Denn diese Analysen sind kaum neutral, sondern treten unbeabsichtigt in eine noch andauernde Auseinandersetzung ein.
dede_59.mp3	im irak wird wie anderswo in der arabischen und mohammedanischen welt ein kultureller krieg zwischen zwei musterbildern geführt hier großartige entwürfe die ein kollektivistisches verständnis dulden nationalismus sozialismus islamismus und dort ein unterschwelliges paradigma individualistischer modernität das örtlich verwurzelt aber von globalen erfahrungen getragen wird
dede_60.mp3	Die Frontlinie in diesem Krieg bilden Vorstellungen von der individuellen und kulturellen Identität, der bürgerlichen Gesellschaft und vom Nationalstaat.
dede_61.mp3	Der religiös-islamische Bestandteil im irakischen gesellschaftlichen Leben sollte nicht unterschätzt werden.
dede_62.mp3	Aber es sollte auch nicht mit dem politischen Islamismus auf gleiche Stufe gestellt werden, der sich bemüht, daraus Kapital zu schlagen.
dede_63.mp3	Die nationalistischen und sozialistischen politischen Diskurse haben dem irakischen Wertesystem ihre Spuren aufgedruckt, doch sind sie nicht dessen einzige Bestandteile.
dede_64.mp3	Tatsächlich stellt die nominelle Hinnahme des großartigen Entwurfs der Demokratie und der Menschenrechte als gemeinsame Grundlage für den politischen Diskurs eine wesentliche Verschiebung beim Abstecken der Front im Kulturkampf dar.
dede_65.mp3	Die kulturelle Debatte beschränkt sich nicht auf die arabische Szene.
dede_66.mp3	Es gibt auch im Westen lebhafte Diskussionen über die Anwendbarkeit demokratischer Institutionen im arabischen Kontext.
dede_67.mp3	verfechter der vorstellung einer arabischen sonderstellung welche die fähigkeit der arabischen gesellschaften sich demokratischen systemen anzupassen in frage stellen sind tatsächlich objektiv mit den ideologen der großen entwürfe verbündet und auch mit den nutznisern der auf protektionismus gestützten politischen ordnung der arabischen welt
dede_68.mp3	Die im Westen sowohl von politischen wie akademischen Kreisen zur Analyse und Interpretation der arabischen Gesellschaften benutzten Muster sind ernsthaft unzulänglich.
dede_69.mp3	insbesondere preisen viele analysen heutzutage ein ethnisches modell an reduzieren den irak auf ein künstliches gebilde das einer zersplitterten realität getrennter gemeinschaften übergestöbt wurde
dede_70.mp3	einige haben sogar vorgeschlagen das aufgrund dieser falschen ansichten vorausgesagte ergebnis zu beschleunigen indem man den irak in seine ursprünglich echten bestandteile zerlegt sunniten schiiten und kurden
dede_71.mp3	Tatsächlich ist die irakische Gesellschaft komplexer als dies.
dede_72.mp3	der aufnahme und übernahme der demokratie ist keine funktion von sektenzugehörigkeit sondern der reflektion auf die vieldimensionalen historischen kulturellen religiösen und politischen identitäten der irakischen einzelpersonen
dede_73.mp3	Unter den richtigen Umständen ist es sehr gut möglich, die irakische Gesellschaft in Richtung auf eine demokratische Gestaltung ihres künftigen Staates zu bewegen.
dede_74.mp3	Der Sturz von Saddam leitet solche richtigen Umstände ein.
dede_75.mp3	tatsächlich ist der scheinbare mißerfolg nämlich daß sich im irak innerhalb der ersten wenigen monate nach dem zusammenbruch der diktatur sadams kein erkennbarer demokratischer kern herausgebildet hat mehr auf die eigenheiten des prozesses zurückzuführen als auf eine unterstellte wesenstatur der irakischen gesellschaft
dede_76.mp3	Bis zum Sturz Sadams gab es im Irak eine breite Mittelschicht, die demokratischen Diskursen und Verfahren gegenüber positiv eingestellt war.
dede_77.mp3	Politische Fehler und Umschwünge haben diese Mittelschicht zerrieben und sowohl dem ideologischen Islamismus als auch einem wieder einsetzenden Neobeatismus den Weg geöffnet.
dede_78.mp3	der hauptfehler war das versäumnis der besatzungsmächte die kleine gruppe irakischer liberaler demokraten dafür auszurüsten und zu ermächtigen in diese mittelschicht vorzudringen mit der folge daß der spielraum für ein liberales demokratisches ergebnis schrumpfte
dede_79.mp3	Doch diesen Rückschlag als einen Misserfolg zu betrachten, wäre eine sich selbst bestätigende Prophezeiung.
dede_80.mp3	Die Demokraten im Irak müssen wieder zu einer klaren Öffentlichkeitsstrategie finden und diese entwickeln.
dede_81.mp3	Die CPA und die Weltgemeinschaft sollten das Ergebnis ihrer Bemühungen nicht beeinträchtigen, indem sie einer oberflächlichen und falschen Ansicht über die irakische Gesellschaft folgen.
dede_82.mp3	Selbst wenn solche Anstrengungen erfolgreich sind, wird der Weg zu einem richtig gehenden demokratischen System im Irak noch immer mühsam und kostspielig sein.
dede_83.mp3	doch statt einem somalia scenario zu erliegen oder von einem japan scenario zu träumen oder sich mit einem afghanistan scenario anzufreunden könnte der irak doch noch ein scenario für ein erfolgreiches eingreifen im einundzwanzigsten jahrhundert werden
dede_84.mp3	Eine neu-osmanische Türkei?
dede_85.mp3	ankara die internationalen medien sind heutzutage besessen von der frage wer die türkei verloren habe und was dieser vermeintliche verlust für europa und den westen bedeutet
dede_86.mp3	Alarmierender ist, dass einige Kommentatoren die Nachbarschaftspolitik der Türkei mit einem Wiedererwachen des osmanischen Imperialismus gleichsetzen.
dede_87.mp3	vor kurzem ging ein führender türkischer leitartikler so weit den türkischen außenminister ahmed davutollo mit der aussage zu zitieren wir sind in der tat neu ottomanisch
dede_88.mp3	als jemand der dabei war als davutollo seine rede vor der parlamentarischen fraktion der regierenden türkischen partei für gerechtigkeit und entwicklung a k hielt kann ich bezeugen daß er diese worte nicht benutzt hat
dede_89.mp3	Tatsächlich verwenden weder Davutoglu noch irgendjemand sonst von uns in der außenpolitischen Gemeinschaft der AKP diesen Begriff, weil er schlicht eine Verdrehung unserer Haltung darstellt.
dede_90.mp3	die nachbarschaftspolitik der türkei ist darauf ausgelegt die türkei wieder in ihre unmittelbaren nachbarschaften zu integrieren den balkan die schwarzmeerregion den kaukasus den nahen osten und den östlichen mittelmeerraum
dede_91.mp3	Wir verfolgen das Ziel, unseren politischen Dialog zu vertiefen, unseren Handel zu steigern und die zwischenmenschlichen Kontakte zu unseren Nachbarn in Form des Sports, Tourismus und der kulturellen Aktivitäten auszuweiten.
dede_92.mp3	Als Egon Bahr in den 1960er Jahren seine Ostpolitik formulierte, fragte niemand Wilbrand, ob Deutschland verloren gegangen sei.
dede_93.mp3	Gott hat der Türkei eine geografische Lage gegeben die es zu einer grundlegenden Anforderung macht dass wir uns nach Osten und Westen Norden und Süden hin engagieren
dede_94.mp3	Wir haben dabei weder eine Wahl, noch ist dies ein Luxus, es ist eine Notwendigkeit.
dede_95.mp3	das symbol der byzantinischen und seltschukischen reiche die in etwa dasselbe gebiet bedeckten wie heute die türkei war ein doppelköpfiger adler der nach osten und westen blickte
dede_96.mp3	es sollte niemanden erstaunen daß auch die türkei sich nach beiden enden ihres territoriums hin orientiert und daß sie glaubt ihre sicherheit ließe sich am besten konsolidieren indem sie die risiken gemeinsam mit ihren nachbarn minimiert
dede_97.mp3	Insofern empfinden wir die aktuelle Debatte über die Orientierung der Türkei als recht überflüssig und in einigen Fällen als böswillig.
dede_98.mp3	Unsere Nachbarschaftspolitik braucht Unterstützung, keine Kritik.
dede_99.mp3	Die Türkei hat sich zu einem unbezahlbaren Aktivposten im Gefüge der uns umgebenden Regionen entwickelt und ist schon jetzt dabei, den Status quo hin zu mehr Stabilität und Berechenbarkeit zu ändern.
dede_100.mp3	Unseren Bemühungen um eine Normalisierung der Beziehung zu Armenien etwa ist es bestimmt, einen Wandel im gesamten Südkaukasus herbeizuführen.
dede_101.mp3	Wir leisten unseren Teil, was die Übernahme der Lasten angeht.
dede_102.mp3	Vernünftige Europäer verstehen das.
dede_103.mp3	Sicher, einige unserer Nachbarn sind schwierig.
dede_104.mp3	Aber kein Land genießt den Luxus, sich seine Nachbarn aussuchen zu können.
dede_105.mp3	Die Nachbarschaftspolitik der Türkei ist sehr realistisch und beruht auf genuinen Interessen nicht romantischer neu-ottomanischer Verklärung wie es mehr als nur ein paar internationale Kommentatoren suggerieren
dede_106.mp3	Es gibt durchaus eine neotomanische Wiederbelebung im kulturellen Bereich und unsere Bürger sind interessiert daran, Leben, Kultur und Praktiken der Ottomanen neu zu entdecken.
dede_107.mp3	Die Türkei normalisiert sich innenpolitisch und interpretiert dabei auch ihr nationalhistorisches Verständnis neu.
dede_108.mp3	Dies ist ein natürliches Nebenprodukt der Konsolidierung unserer Demokratie.
dede_109.mp3	der versuch jedoch unseren sorgfältig konzipierten außenpolitischen initiativen einen imperialistischen anstrich zu verleihen ist nicht nur eine völlige verdrehung der tatsachen sondern fügt auch unseren wohlmeinenden bemühungen zur stabilisierung unserer region grobes unrecht zu
dede_110.mp3	In der römischen Mythologie war Janus der Gott der Türen und Tore, der Gott von Anfang und Ende.
dede_111.mp3	Die heutige Türkei mit ihrer janusartigen Geographie eröffnet dem Osten und dem Westen Türen und Tore.
dede_112.mp3	Sie bietet dem Kaukasus, der Schwarzwärtregion, dem Balkan und dem Mittelmeer Gelegenheiten vom Neuanfang und auch dazu, Dinge zu Abschluss zu bringen.
dede_113.mp3	In dieser Eigenschaft komplementiert und unterstützt die Türkei einen einzigartigen Übergang zwischen anderweitig schwierigen Regionen, denn sie steht für jahrhunderte alte Koexistenz und Anpassung.
dede_114.mp3	Die türkische Außenpolitik trägt zu diesem Aufeinanderzugehen bei und hilft ihren unmittelbaren Nachbarschaften, den Kontakt zueinander zu finden.
dede_115.mp3	Anders als in jüngster Zeit behauptet, streben die Außenpolitiker der Türkei keine Wiederbelebung des Osmanischen Reiches an.
dede_116.mp3	Stattdessen bemühen wir uns um eine historische Reintegration der Türkei in ihre unmittelbaren Nachbarschaften und korrigieren damit eine Anomalie aus der Zeit des Kalten Krieges.
dede_117.mp3	Eine derartige Reintegration würde der Europäischen Union und unseren anderen westlichen NATO-Verbündeten nur nützen.
dede_118.mp3	Keiner von ihnen hat daher einen Grund, Unbehagen über die Türkei zu äußern.
dede_119.mp3	paris während sich die wirtschaftskrise vertieft und ausweitet ist die welt auf der suche nach historischen analogien die uns helfen sollen die geschehnisse zu verstehen
dede_120.mp3	zu beginn der krise wurde sie von vielen mit oder verglichen was beruhigend war da sich beide daten auf klassische zyklische konjunkturabschwünge beziehen
dede_121.mp3	heute ist die stimmung wesentlich trostloser und bezüge auf die jahre und beginnen sichtbar zu werden auch wenn einige regierungen sich weiterhin so verhalten als sei die krise eher klassisch als außergewöhnlich
dede_122.mp3	Die Tendenz ist entweder eine übermäßige Zügelung, Europa, oder eine Streuung der Bemühungen, die Vereinigten Staaten.
dede_123.mp3	europa ist zurückhaltend um schulden zu vermeiden und den euro zu schützen die usa hingegen haben an vielen fronten maßnahmen ergriffen um die ideale gelegenheit zur durchführung dringend erforderlicher strukturreformen nicht zu versäumen
