Audio File	Transcription
enus_ruru_0.mp3	Однако полиция не захотела выносить Сорли из избы и дело замяли.
enus_ruru_1.mp3	конечно далеко не со всеми складывались дружеские отношения но если случались какие то конфликты обиды старались не выносить ссор из избы в крайнем случае просто менялись столиками чтобы не сидеть рядом
enus_ruru_2.mp3	и тут без вопросов каждый из них поддался на эту ее зрительную провокацию и каждый из них готов выпрыгнуть из штанов чтобы ее не только удивить а потрясти в изумлении
enus_ruru_3.mp3	Если девушка действительно нравится, мужчина выпрыгнут из штанов, но найдет возможность пригласить ее на свидание. Было бы желание.
enus_ruru_4.mp3	в результате всё строится на высосанной из пальца гипотезе а не на почве реальной действительности
enus_ruru_5.mp3	согласитесь, гораздо интереснее бывшего человека послушать, чем читать повести, высосанные из пальца автором, никогда не встававшим из своего писательского кресла
enus_ruru_6.mp3	Редактор, директор галереи, заказчики. Мама полчаса трепала нервы, допрашивая меня с пристрастием.
enus_ruru_7.mp3	потому что если вы понимаете что вы не можете помочь человеку то проще ему отказать чем взять деньги а потом ругаться и возвращать их и трепать нервы друг другу
enus_ruru_8.mp3	Может быть, вы напрасно ищете причину в психологической области, а собака зарита именно там.
enus_ruru_9.mp3	вот где собака зарита перебил меня бармен а говоришь счастлив как можно быть счастливым когда тебе отказывает издательство
enus_ruru_10.mp3	Мое мнение никто и никогда не спрашивал, так что у меня от удивления глаза на лоб полезли, но я с важным видом сунула ложку в рот.
enus_ruru_11.mp3	У разбойника глаза на лоб полезли, настолько он был удивлен.
enus_ruru_12.mp3	У него просто глаза разбегались от изобилия и разнообразия товаров.
enus_ruru_13.mp3	Так я попала на утренний базар, где глаза расбегались от обилия деликатесов.
enus_ruru_14.mp3	Вам даже в голову не придет позволить некоторым людям заботиться о ваших детях, но есть и те, кому глазом не моргнув можно доверить свою жизнь.
enus_ruru_15.mp3	в следующий раз он и глазом не моргнув попрятал по карманам деньги из госбюджета выделенные на обеды сельским школьникам
enus_ruru_16.mp3	 А что, если я глух, как Тетерев? Вот, исправка имеется.
enus_ruru_17.mp3	Она глухая, как тетерев. Между прочим, замечательная женщина.
enus_ruru_18.mp3	Иван с Ольгой друг друга не понимали, как будто говорили на разных языках.
enus_ruru_19.mp3	 Мама, мы с тобой говорим на разных языках. Ты мне про одно, я тебе про другое.
enus_ruru_20.mp3	доченька зачем тебе выходить за него замуж он же гол как сокол у него ничего нет как же вы будете жить
enus_ruru_21.mp3	Мало того, что голый, как сокол, так еще и страшный.
enus_ruru_22.mp3	Для того, чтобы грести под себя, для того, чтобы хавать, чтобы лгать, не надо разбираться в физике, в литературе, в истории.
enus_ruru_23.mp3	 Ну да. Мы с тобой два сапога пара.  охотно согласился Шурик.
enus_ruru_24.mp3	Удивительно, как ты крепко спишь, ничего не слышишь, и бабушка тоже. Два сапога пара.
enus_ruru_25.mp3	Но прошло несколько дней, и я понял, что сделал из мухи слона.
enus_ruru_26.mp3	Я, наверное, сделала из мухи слона. Слишком много стереотипов у меня в голове.
enus_ruru_27.mp3	"Напиши только ""Денмарк"" красивыми буквами и дело в шляпе."
enus_ruru_28.mp3	У него были диктаторские замашки, и свое учреждение он держал в ежовых рукавицах.
enus_ruru_29.mp3	а жизнь то в ежовых рукавицах людей держит.
enus_ruru_30.mp3	герцог аристократ до мозга костей был так же как и они шокирован тем что убийцу знатного рода ждет та же смерть что и у преступника плебея
enus_ruru_31.mp3	Вы очень красивые и сильные. Кровь сейчас остановится, а щека до свадьбы заживет.
enus_ruru_32.mp3	потому что всякий уважающий себя младший брат считает своим долгом доводить до белого коления старшую сестру
enus_ruru_33.mp3	 Ох, зря это она! Неужели не знает, что мужчин нельзя провоцировать, а тем более доводить до белого коления?
enus_ruru_34.mp3	Мама часто драла сына как сидорову козу за плохие оценки в школе.
enus_ruru_35.mp3	 Не нужно нарушать правила в нашем обществе, иначе тебя будут драть, как сидорову козу.
enus_ruru_36.mp3	Остатки ты раздал своим бездельникам, а лаборатория, которая заработала премию, получила дырку от бублика.
enus_ruru_37.mp3	то есть возраст у него категорически отсутствовал уверено у него и в паспорте в строке дата рождения вместо цифр стоит дырка от бублика
enus_ruru_38.mp3	Советская власть была еще жива, но уже дышала на ладан.
enus_ruru_39.mp3	К тому времени компания уже фактически дышала на ладан, поскольку ее долгосрочные долговые обязательства выросли до 7,6 млрд. долларов.
enus_ruru_40.mp3	смотри алексей как бы наш железный конь не откинул копыты раньше срока дмитрий петрович неодобрительно посмотрел на своего беспечного водителя заливать такую соляру без специальных присадок в современный дизельный двигатель очень опасно
enus_ruru_41.mp3	если этой зимой опять случится такой сильный мороз то половина яблонь в нашем саду точно откинет копыта вымерзнет совсем надо было не слушать тебя а руинированные сорта покупать
enus_ruru_42.mp3	Ему ничего не стоило поливать ее грязью за спиной. Зачем нужны такие отношения?
enus_ruru_43.mp3	Вместо того, чтобы поливать грязью идею конкурентов, лучше бы грамотно изложил свои идеи.
enus_ruru_44.mp3	следователь пригрозил подозреваемому, что если тот будет качать право, получит срок как два пальца об асфальт.
enus_ruru_45.mp3	Казалось, что найти выход из этой ситуации очень просто  как два пальца об асфальт. Но не тут-то было.
enus_ruru_46.mp3	 Как пить дать, нас замечат,  сказал Гоша.  Ни каркой не замечат. Мы осторожно,  ответил Петя.
enus_ruru_47.mp3	как пить дать придется еще несколько дней потратить, чтобы закончить эту работу
enus_ruru_48.mp3	Жили они с родителями, как у Христа за пазухой, пока жена не захотела съехать.
enus_ruru_49.mp3	Ты посмотри на него, устроился, как у Христа, за пазухой и еще чем-то недоволен.
enus_ruru_50.mp3	Она хотела ему еще так многое сказать, но, как говорят, поезд ушел. Надо было раньше думать.
enus_ruru_51.mp3	Марина считала, что ее поезд давно ушел и ничего нового и интересного в жизни ее уже не случится.
enus_ruru_52.mp3	 Поживем, увидим, чем все это закончится,  сказала спокойным тоном бабушка и пошла заваривать чай.
enus_ruru_53.mp3	Никогда не знаешь, что будет дальше. Поэтому поживем, увидим. Не будем загадывать вперед.
enus_ruru_54.mp3	Давно пора объединяться со Спейкс и создавать реальную станцию, а не витать в облаках фантастических проектов.
enus_ruru_55.mp3	димко уничтожен а следовательно вновь завоеван и покорен теперь она из него будет вить веревки сделает своим верным рабом вместо попова
enus_ruru_56.mp3	скоро ты научишься вить веревки из мужчин но они уже сейчас прекрасно знают как манипулировать нами
enus_ruru_57.mp3	 Нечего во всю Ивановскую арать, чего дома есть, а чего нет?
enus_ruru_58.mp3	 А у тебя все окна горят, как на празднике, музыка во всю Ивановскую и в окнах танцующие тени.
enus_ruru_59.mp3	Учитель всегда говорил нам, что нужно учить правила так, чтобы они у нас от зубов отскакивали.
enus_ruru_60.mp3	Он очень начитанный молодой человек. Теория у него от зубов отскакивает, но с практикой пока туга.
enus_ruru_61.mp3	Азе летного мастерства молодой Чкалов осваивал в авиационной школе воздушной стрельбы и бомбометания под Серпуховым, сокращенно называвшейся стрельбомом.
enus_ruru_62.mp3	Все эти книги написаны доступным языком, чтобы любой начинающий кинематографист мог освоить озы интересной специальности.
enus_ruru_63.mp3	А цыганка в ответ говорит:  Дай ручку позолочу, дорогой, всю правду расскажу.
enus_ruru_64.mp3	 Меня попросили позолотить ручку, я растерялась и быстро выскочила из комнаты,  пожаловалась девушка.
enus_ruru_65.mp3	Хотела я показать ей, где раки зимуют, а тут, как на зло, Иванович зашел.
enus_ruru_66.mp3	Я не на шутку рассердилась, и у меня сразу же возникло желание показать им всем, где раки зимуют.
enus_ruru_67.mp3	Бюджет страны лопался от гонки вооружений, а в штабах царила атмосфера пира во время чумы.
enus_ruru_68.mp3	росла и ширилась великая русская смута, а в столице Пирм во время чумы кипели политические дебаты.
enus_ruru_69.mp3	Человек десять сидели за столиками, а у стойки только одинокая красивая девушка, которая была изрядно под мухой.
enus_ruru_70.mp3	время от времени дед возвращался домой под шофе но в таком случае утром ему была обеспечена длительная лекция о вреде спиртного в приклонном возрасте
enus_ruru_71.mp3	может она пьяная решила под чафе позвонить или написать бывшему парню но перепутала а какие еще могут быть объяснения
enus_ruru_72.mp3	Ребята восторженно переглянулись и решили, что эти билеты просто подарок судьбы.
enus_ruru_73.mp3	При ближайшем рассмотрении сидений дома всей семьей оказывается подарком судьбы.
enus_ruru_74.mp3	варя подумала что этот тихий и спокойный городок идеальное место для жизни но со временем выяснилось что в тихом муте черти водятся в городе было много своих проблем
enus_ruru_75.mp3	спокойное и тихое, говоришь. Это ты ее плохо знаешь. Как говорится, в тихом муте.
enus_ruru_76.mp3	в тихом омуте сам знаешь кто водится. Внешность и манеры поведения человека бывают обманчивы.
enus_ruru_77.mp3	уволившись с прежней работы и не имея возможности найти новую валентин оказался между небом и землей его перспективы и дальнейшие возможности трудоустройства казались туманными
enus_ruru_78.mp3	Они были готовы на что угодно, лишь бы перестать болтаться между небом и землей. Кому понравится такая жизнь без жилья и работы?
enus_ruru_79.mp3	что тебе все время не нравится. Условия отличные. Тепло, светло и мухи не кусают. Живи да радуйся.
enus_ruru_80.mp3	Дети совершенно не хотели возвращаться домой. А куда им было спешить? Им и там было неплохо: тепло, светло и мухи не кусают.
enus_ruru_81.mp3	всегда просите предоставить вам документальное подтверждение сказал юрист может оказаться что вам просто вешают лапшу на уши
enus_ruru_82.mp3	Во время выборов политики часто пытаются вешать лапшу на уши избирателей, обещая им то, что не могут выполнить.
enus_ruru_83.mp3	Как только мы высказали свои намерения, конкуренты быстро поняли, что мы собираемся захватить часть их рынка и попытаться взять их в тиски.
enus_ruru_84.mp3	Кредиторы взяли компанию в тиски, требуя немедленного погашения долга.
enus_ruru_85.mp3	она решила взять волю в кулак и начать учить новый язык несмотря на сложности с которыми она неоднократно сталкивалась на пути обучения
enus_ruru_86.mp3	Ольга взяла волю в кулак и пошла на интервью, несмотря на свой страх.
enus_ruru_87.mp3	на концерте певец исполнил такую красивую песню что она взяла за душу всех присутствующих в зале никто не остался равнодушным
enus_ruru_88.mp3	История о бедной семье, живущей на улице, взяла ее за душу, и она решила оказать посильную помощь.
enus_ruru_89.mp3	Книжная жизнь столицы не то чтобы бьет ключом, но и не стоит на месте.
enus_ruru_90.mp3	это только кажется что за пределами третьего транспортного кольца жизнь останавливается пусть она и не бьет ключом как в центре но уж сонным царством ее сегодня не назовешь
enus_ruru_91.mp3	Ведьма уж точно не казалась божьим одуванчиком, но и на уродливую, вредную коргу не тянула.
enus_ruru_92.mp3	 Бабушка Божия, дуванчик, а сколько в ней злости?
enus_ruru_93.mp3	 Я бы не хотел подложить свинью своему лучшему другу,  сказал Марк.  Не люблю подводить людей.
enus_ruru_94.mp3	Есть такие друзья-приятели, которые по техе ради всегда ищут случая подложить другу свинью, думая, что это смешно.
enus_ruru_95.mp3	Не следует считать это происшествие чем-то из ряда вон выходящим. В нашей конторе такое, увы, случается достаточно регулярно.
enus_ruru_96.mp3	пока руководство компании пребывало в блаженной прострации эта шальная новость стремительно распространялась среди сотрудников передаваясь из уст в уста
enus_ruru_97.mp3	Переходя из уст в уста, коварно и бесчестно, крылатым змеем клевета носилась повсеместно.
enus_ruru_98.mp3	первый блин вышел комом и наш старший инженер сергей соколов сразу засел писать объяснительные для руководства почему и как долгожданный запуск системы завершился таким провалом
enus_ruru_99.mp3	 Ладно, будем считать первый блин комом, а в следующий раз я наберу столько припасов, на сколько денег хватит.
enus_ruru_100.mp3	Он же был сыном самого главы местного крайкама, первый парень на деревне.
enus_ruru_101.mp3	мне было пять лет когда я сам научился играть на маленькой гармошке отчего невольно стал первым парнем на деревне поскольку других музыкантов в округе не было
enus_ruru_102.mp3	Что может быть лучше, чем прогулки по лесу в баби лета? Последние теплые дёнки перед холодной дождливой осенью.
enus_ruru_103.mp3	 Вот эта погода,  сказал Михаил.  Настоящее бадье лето. Интересно, надолго ли?
enus_ruru_104.mp3	но что поделать приходится вертеться как белка в колесе и мечтать о полноценном сне в своей квартире
enus_ruru_105.mp3	при современном бешенном темпе жизни многие мамы и папы вынужденные вертеться как белка в колесе не понимают одной простой вещи
enus_ruru_106.mp3	Я знаю, что у каждого вертится на языке множество вопросов.
enus_ruru_107.mp3	А ваш отец, он, сложный вопрос вертелся на языке, она боялась причинить боль, обидеть.
enus_ruru_108.mp3	И будут у вас детки, вот увидите. Не вешайте нос.
enus_ruru_109.mp3	Не надо вешать нос. Пара недель разлуки вашим отношениям не повредит.
enus_ruru_110.mp3	Сразу оговорюсь, что не хочу и не буду бросать камни в огород нашей медицины, врачей и методов лечения.
enus_ruru_111.mp3	не удержусь от того, чтобы бросить камень в огород журналистской братства. Их перья к этому явлению приложились основательно
enus_ruru_112.mp3	Нужно быть осторожным и очень внимательным, чтобы не попасться на удочку мошенников.
enus_ruru_113.mp3	Спекулянты ловко орудуют на этом рынке. К сожалению, мы тоже попали на их худочку.
enus_ruru_114.mp3	Хотела я показать ей, где раки зимуют, а тут, как на зло, Иванович зашел.
enus_ruru_115.mp3	Я не на шутку рассердилась, и у меня сразу же возникло желание показать им всем, где раки зимуют.
enus_ruru_116.mp3	В ответ на этот поступок хозяин дома пообещал показать непрошенному гостю Кускину мать.
enus_ruru_117.mp3	Но, положив руку на сердце, нужно отметить: подвиги своего героя он чуть ли не высасывал из пальца.
enus_ruru_118.mp3	Даже сейчас, положив руку на сердце, могу честно признаться: ну, какой из меня руководитель?
enus_ruru_119.mp3	Я так боялся получить на орехи, что постарался побыстрее скрыться с глаз.
enus_ruru_120.mp3	Несмотря на все свои старания и вовремя сделанную контрольную, я все равно получил на орехи от учителя.
enus_ruru_121.mp3	Если это действительно твой человек, тебе будет казаться, что он читает твои мысли и понимает с полуслова.
enus_ruru_122.mp3	можно легко попасть в просак и выставить себя глупым человеком если много говорить по теме, которая не совсем вам знакома
enus_ruru_123.mp3	он забыл о сроке подачи заявки на конкурс и только за несколько дней до его окончания понял что попал в просак и уже ничего не успеет сделать
enus_ruru_124.mp3	Нужно быть осторожным и очень внимательным, чтобы не попасться на удочку мошенников.
enus_ruru_125.mp3	спекулянты ловко орудуют на этом рынке. К сожалению, мы тоже попали на их удочку.
enus_ruru_126.mp3	Вся эта история попахивала неприятностями, но соблазн участвовать в розыгрыше был слишком велик.
enus_ruru_127.mp3	Обстановка на работе попахивала неприятностями, и я боялся, что в итоге меня уволят.
enus_ruru_128.mp3	Слыша фразу После дождечка в четверг, понимаю, что надеется мне ни на что ни в скорой, ни в долгосрочной перспективе.
