Audio File	Transcription
enus_ruru_129.mp3	пригласив наташку на свидание я затавив дыхание боялся получить отказ а она рассмеялась и выпалила после дождечка в четверг
enus_ruru_130.mp3	Наверное, для меня это была последняя капля. Мне захотелось поскорее прекратить эти отношения.
enus_ruru_131.mp3	Левин раскритиковал его книгу. После этого они рассорились в пух и прах.
enus_ruru_132.mp3	Папа был на пределе, и я боялся, чтобы родители не рассорились в пух и прах.
enus_ruru_133.mp3	Не стоит посыпать голову пеплом, пока еще есть надежда исправить ситуацию.
enus_ruru_134.mp3	в своей жизни анна сталкивалась с такими ситуациями когда впору было посыпать голову пеплом но она снова находила в себе силы продолжать борьбу
enus_ruru_135.mp3	Он уже было взял ручку, но, почувствовав неладное, снова отложил ее и не стал подписывать договор.
enus_ruru_136.mp3	Порой предоставить подростка самому себе не хуже вариант это поможет ему разобраться в своих приоритетах
enus_ruru_137.mp3	из за халатности медсестер больные в палате были предоставлены сами себе даже капельницу снять было некому
enus_ruru_138.mp3	Личинки майского жука присекали на корню мое желание выращивать клубнику.
enus_ruru_139.mp3	Наилучший способ не дать эпидемии распространиться  это присечь ее на корню.
enus_ruru_140.mp3	Чтобы не упасть в грязь лицом, ей пришлось напрячься и прийти на этот праздник при полном параде.
enus_ruru_141.mp3	Это был необычный день. Несмотря на тяготы своего положения, он хотел быть при полном параде.
enus_ruru_142.mp3	Если не придираться к мелочам, то работа выполнена на отлично.
enus_ruru_143.mp3	И как можно получить хорошую оценку, когда учитель придирается к мелочам? Ему все время что-то не нравится.
enus_ruru_144.mp3	эти видеозаписи помогут тебе прижать к стене этого лгуна и вывести его на чистую воду
enus_ruru_145.mp3	Он еще пытался сопротивляться, но был прижат к стене; доказательства его неправоты были неоспоримыми.
enus_ruru_146.mp3	Истерика у Татьяны длилась недолго. Крепкие объятия матери помогли ей быстро прийти в себя.
enus_ruru_147.mp3	Выпив стакан воды, девушка быстро пришла в себя и стала спешно рассказывать о случившемся.
enus_ruru_148.mp3	В фильме Побег из Шевченко у Энди был призрачный шанс бежать из тюрьмы, но он смог им воспользоваться.
enus_ruru_149.mp3	У Николая был призрачный шанс сдать экзамен, но ему повезло: он вытащил единственный билет, который учил.
enus_ruru_150.mp3	На совете директоров было принято решение, что новый сотрудник пришелся не ко двору, так как не соответствовал установленным требованиям.
enus_ruru_151.mp3	Почему степку не взяли в команду?  Да он пришел, сынико, дворе. Не подходит он нам, играть не умеет.
enus_ruru_152.mp3	Разумеется, не все, что я узнал от свидетелей, следовало принимать за чистую монету.
enus_ruru_153.mp3	но в том возрасте ты еще не знала что такое самооценка и поэтому все комплименты принимала за чистую монету и думала что ты действительно единственное в своем роде и неповторимое
enus_ruru_154.mp3	болельщики будут благодарны за информацию о ключевых игроках спонсоры оценят рекламные возможности а клуб сможет продвигать запланированные мероприятия подогревая интерес публики к ним
enus_ruru_155.mp3	Необходимо постоянно подогревать интерес вашего собеседника, чтобы его внимание ни на минуту не ослабевало.
enus_ruru_156.mp3	и сотрудники вновь начали рассказывать о причинах сорванных сроков, сложных условиях работы и несправедливом отношении. В общем, снова завели сказку про белого бычка.
enus_ruru_157.mp3	может он все же исправился снова спросила алена но если честно мне эта сказка про белого бычка уже порядком поднадоела
enus_ruru_158.mp3	сидоровы без боя не сдаются упрямо сказал васка и продолжил ковыряться с платой надеясь найти сгоревшую микросхему
enus_ruru_159.mp3	этот экзамен был явно сложнее чем ожидалось петров встретилось много непонятных вопросов но такие как он без боя не сдаются и наш друг старался изо всех сил сдав в итоге этот злосчастный экзамен пусть и с минимальным проходным баллом
enus_ruru_160.mp3	Он слишком много брал на себя, и жена всегда его ругала:  Алеша, ну зачем ты так? Тебе что больше всех надо?
enus_ruru_161.mp3	Иной раз мы слишком много берем на себя и слишком многого ожидаем от этих своих усилий.
enus_ruru_162.mp3	его ленивая сестра всю жизнь сидит на шее у родителей и никак не хочет сама работать желая получать все в своей жизни бесплатно
enus_ruru_163.mp3	Государство по-прежнему сидело на шее у мужиков, выбивая из них выкупные платежи, которые представляли собой самый, что не наесть прямой налог.
enus_ruru_164.mp3	с первого взгляда казалось что это милейший человек который мухи не обидит но в тихом мути черти водится спустя несколько месяцев он показал себя во всей своей красоте
enus_ruru_165.mp3	варя подумала что этот тихий и спокойный городок идеальное место для жизни но со временем выяснилось что в тихом муте черти водятся в городе было много своих проблем
enus_ruru_166.mp3	 Спокойное и тихое, говоришь? Это ты ее плохо знаешь. Как говорят, в тихом муте.
enus_ruru_167.mp3	в тихом омуте сам знаешь кто водится внешность и манера поведения человека бывают обманчивы
enus_ruru_168.mp3	всегда просите предоставить вам документальное подтверждение сказал юрист может оказаться что вам просто вешают лопшу на уши
enus_ruru_169.mp3	Во время выборов политики часто пытаются вешать лапшу на уши избирателей, обещая им то, что не могут выполнить.
enus_ruru_170.mp3	Как только мы высказали свои намерения, конкуренты быстро поняли, что мы собираемся захватить часть их рынка и попытаться взять их в тиски.
enus_ruru_171.mp3	Кредиторы взяли компанию в тиски, требуя немедленного погашения долга.
enus_ruru_172.mp3	она решила взять волю в кулак и начать учить новый язык несмотря на сложности с которыми она неоднократно сталкивалась на пути обучения
enus_ruru_173.mp3	Ольга взяла волю в кулак и пошла на интервью, несмотря на свой страх.
enus_ruru_174.mp3	на концерте певец исполнил такую красивую песню что она взяла за душу всех присутствующих в зале никто не остался равнодушным
enus_ruru_175.mp3	История о бедной семье, живущей на улице, взяла ее за душу, и она решила оказать посильную помощь.
enus_ruru_176.mp3	васька сидоров был доносчиком как разнюхает что кто нибудь из нас где то накасячил так сразу берет на карандаш а потом строчит жалобы в портком
enus_ruru_177.mp3	все эти наставления подробно изложенные в докторской монографии нашего многоуважаемого Георгия Альбертовича Горячевского будет полезно взять на карандаш любому аналитику
enus_ruru_178.mp3	Вопросы экономического роста не должны приводить к ухудшению качества жизни населения. Важно найти баланс, чтобы и волки были сыты, и овцы остались целы.
enus_ruru_179.mp3	Когда в мечтах и волки сыты, и овцы целы, это очевидное противоречие.
enus_ruru_180.mp3	Человек может надумать себе что угодно, а логические знания всегда отстают от интуитивных знаний.
enus_ruru_181.mp3	но это не свидание, а то надумаешь себе сейчас. Считай это дружеской встречей и не более.
enus_ruru_182.mp3	демократы из стран третьего мира выполняют всю черновую работу а реальные хозяева получают чистую прибыль
enus_ruru_183.mp3	так теряясь в лучах славы других процессоров интел восьмиразрядный предк выполнял черновую работу в персональных компьютерах
enus_ruru_184.mp3	Пассажиры поезда представляли сливки высшего общества и делового мира древней столицы
enus_ruru_185.mp3	Сам ресторан был очень дорогим. Там присутствовали только сливки высшего общества.
enus_ruru_186.mp3	День сгорал, как свеча. Приближались сумерки.
enus_ruru_187.mp3	Жалька та любовь, которую нужно держать в узде!  воскликнула она.  Я такой любви не хочу.
enus_ruru_188.mp3	 Прямо сейчас,  сказал он, пытаясь держать в узде свою злость,  мне нужны только деньги, много денег.
enus_ruru_189.mp3	организм человека во время эпидемии гриппа может долго держать защиту но в один прекрасный день мы все таки подхватываем вирус если накануне перегрузились понервничали или не выспались
enus_ruru_190.mp3	будучи кристально честным человеком он всегда поступал по совести но в той обители зла где он работал ему постоянно приходилось держать круговую оборону
enus_ruru_191.mp3	Еще один маркер хороших взаимоотношений с командой  это ваше умение держать слово.
enus_ruru_192.mp3	в странице его книги поведают как держали удары судьбы русские самоучки предприниматели выбиваясь в купцы первой гильдии и превращаясь вокруг нефтеного промысла
enus_ruru_193.mp3	Конечно же, можно говорить о волевых качествах личности спортсмена, силе духа, умении концентрироваться, способности держать удар.
enus_ruru_194.mp3	с этим человеком постоянно приходилось держать ухо востро ожидая, что он совершит какой нибудь неожиданный поступок
enus_ruru_195.mp3	Я и сам знал, что это не к добру, хуже не бывает приметы, и здорово перепугался. Просто душа в пятки ушла.
enus_ruru_196.mp3	У меня от увиденного душа в пятке ушла. Теперь я понимала это выражение и на себе ощутила, как это бывает.
enus_ruru_197.mp3	в детдоме все моральные качества юного человека душили в зародыше
enus_ruru_198.mp3	он всегда был консервативен в своих взглядах и часто заявлял, что любое инакомыслие нужно непременно душить в зародыше
enus_ruru_199.mp3	Мне не нравится, как он замыливает глаза, когда я спрашиваю о его планах на выходные.
enus_ruru_200.mp3	Мой начальник пытался замылить мне глаза, чтобы скрыть свою ошибку.
enus_ruru_201.mp3	Я знаю этого человека очень хорошо, зуб даю, он не лжет.
enus_ruru_202.mp3	если он опоздает еще раз то зуб даю что неприятностей не избежать его уже много раз предупреждали о том что опоздания недопустимы
enus_ruru_203.mp3	Она не из робкого десятка и всегда готова идти в атаку, независимо от того, права она или нет.
enus_ruru_204.mp3	мои друзья очень хвалят свой новый район и это понятно ведь каждый кулик свое болото хвалит
enus_ruru_205.mp3	я считаю что наша компания самая лучшая конечно ведь каждый кулик свое болото хвалит хотя я тоже считаю что тебе повезло с работой
enus_ruru_206.mp3	После того как изменилась политическая обстановка, новые партии начали вылазить как грибы после дождя.
enus_ruru_207.mp3	Торговые центры в нашем городе растут как грибы после дождя, их с каждым месяцем становится все больше.
enus_ruru_208.mp3	Услышав громкий взрыв, Ирина поняла, что пора брать ноги в руки и бежать куда глаза глядят.
enus_ruru_209.mp3	если хочешь продолжать здесь работать, ноги в руки и бегом к начальству писать объяснительную.
enus_ruru_210.mp3	Красная нить в этом романе  это любовная история, которая связывает главных героев на протяжении всей книги.
enus_ruru_211.mp3	Красная нить, связывающая жизнь двух людей, оказалась сильнее всех разногласий и трудностей.
enus_ruru_212.mp3	хотя современная молодежь уже не помнит значения этого праздника для моего поколения эта дата навсегда останется красным днем календаря
enus_ruru_213.mp3	В этом году впервые этот день был объявлен нерабочим. Он стал красным днем календаря.
enus_ruru_214.mp3	Он работал на износ до седьмого пота, но никакой благодарности за свою кровавую работу не получал.
enus_ruru_215.mp3	Я был бы признателен, если бы кто-то сделал за меня эту ужасную кровавую работу. Но не думаю, что желающие найдутся.
enus_ruru_216.mp3	Родители составили длинный список дел, которые кровь из носу нужно успеть сделать до холодов.
enus_ruru_217.mp3	мне кровь из носу нужна информация об этом человеке иначе я пропал взмолился павел
enus_ruru_218.mp3	Кто рано встает, тому Бог подает. Этот принцип помогает мне каждый день с самого утра браться за важные дела.
enus_ruru_219.mp3	Слова: Кто рано встает, тому Бог подает напоминали ей, что трудолюбие и настойчивость награждаются успехом.
enus_ruru_220.mp3	Она просто купается в роскоши, путешествует на частном самолете, живет в огромной вилле на берегу моря и ни в чем себе не отказывает.
enus_ruru_221.mp3	Очень грустно, что в этом мире единицы купаются в роскоши, а большинство вынуждено жить в нищете.
enus_ruru_222.mp3	Некоторые люди любят лезть не в свое дело, что зачастую приводит к ненужным проблемам и конфликтам.
enus_ruru_223.mp3	Мой коллега ужасно меня раздражает. Он постоянно лезет не в свое дело и пытается контролировать мою работу.
enus_ruru_224.mp3	в нашем обществе принято считать что интересы отдельного взятого человека это что то несущественное главное интересы общественные как говорят лес рубят щепки летают
enus_ruru_225.mp3	Система приучила его к тому, что человек ничего не значит. Лес рубят, щепки летают. Кажется, изменить это мышление уже невозможно.
enus_ruru_226.mp3	Мой друг считает, что он достойный лучшей работы, но я говорю ему, что лучше синиться в руках, чем журавль в небе, поэтому лучше ценить то, что он уже имеет.
enus_ruru_227.mp3	конечно когда то я мечтал о большом доме и роскошной жизни но в итоге я понял что лучше иметь сеницу в руках чем журавля в небе и что не стоит стремиться к недостижимому
enus_ruru_228.mp3	местные жители испугавшись перспективы оказаться между молотом и на ковальней стали уезжать кто куда кто в другие области кто за границу
enus_ruru_229.mp3	уволившись с прежней работы и не имея возможности найти новую валентин оказался между небом и землей его перспективы и дальнейшие возможности трудоустройства казались туманными
enus_ruru_230.mp3	что тебе все время не нравится. Условия отличные. Тепло, светло и мухи не кусают. Живи да радуйся.
enus_ruru_231.mp3	Дети совершенно не хотели возвращаться домой. А куда им было спешить? Им и там было неплохо: тепло, светло и мухи не кусают.
enus_ruru_232.mp3	как ни велико побуждение окончательно сжечь мосты побеждает желание увидеть их лица когда я предстану перед своей родной раздетой как принцесса под ручку со своим неотразимым избранником
enus_ruru_233.mp3	Он решил убить двух зайцев сразу, предоставить новый полезный для общества продукт и заработать на этом.
enus_ruru_234.mp3	я решил купить новый компьютер чтобы более эффективно работать и играть в компьютерные игры в свободное время так я убил двух зайцев одним выстрелом
enus_ruru_235.mp3	Этот идиот будет стоять на своем, пока ему кишки не выпустят.
enus_ruru_236.mp3	 По моему самое время развязать мне руки, сестрица. Мы сейчас в одной лодке. Эти ребята выпустят кишки нам обоим.
enus_ruru_237.mp3	Я 22-го года преподавал литературу в школе и прекрасно понимаю, что все романы прочесть невозможно. А если школьник и попытается это сделать, то получится галопом по европам.
enus_ruru_238.mp3	Гумбольдт промчался по Уралу, как говорят, галопом по европам.
enus_ruru_239.mp3	Раньше гвоздём программы считался дрессировщик тигров, но работа поглотила беднягу целиком и пришлось сделать ставку на волшебника.
enus_ruru_240.mp3	лет десять назад я сказала бы что где наше не пропадало а сейчас скажу что это самая грязная сложная опасная профессия для любого человека
enus_ruru_241.mp3	черт с ним где наше не пропадало анатолий иванович уверил меня что вы можете всё
enus_ruru_242.mp3	Помолчи, у меня голова и без того кругом, а у тебя привычка говорить под руку.
enus_ruru_243.mp3	Не надо говорить мне под руку.  Я сейчас занят. Не видишь?
enus_ruru_244.mp3	по натуре он типичная деловая колбаса
enus_ruru_245.mp3	танцевать не хочешь песни не поешь не веселишься деловая колбаса
enus_ruru_246.mp3	Вот человек, у которого слишком длинный язык. Он постоянно болтает и распускает слухи.
enus_ruru_247.mp3	 Маша, у тебя длинный язык, перестань болтать.
enus_ruru_248.mp3	что бы там ни говорили сторонники и противники цифровых пространств они могут спорить до хрипоты а мне чужое мнение уже не важно
enus_ruru_249.mp3	можно спорить с этим до бесконечности до хрипоты доказывать что все это выдумки что тебя создали твои родители но ведь от этого правда не изменится
